"Time","143028A","","143028A","",""
"and","10.00","","140.00","",""
"Date","Rainfall (mm)","","Discharge (Cumecs)","",""
"Date and time","Point","Quality","Point","Quality","Comments"
00:00:00 01/01/2017,        0.00,     83,      0.0000,     10,Sites:
01:00:00 01/01/2017,        0.00,     83,      0.0000,     10,143028A - Ithaca Creek at Jason Street Lat:-27.448931 Long:152.993334 Elev:0m
02:00:00 01/01/2017,        0.00,     83,      0.0000,     10, 
03:00:00 01/01/2017,        0.00,     83,      0.0000,     10,Variables:
04:00:00 01/01/2017,        0.00,     83,      0.0000,     10,10 - Rainfall (millimetres)
05:00:00 01/01/2017,        0.00,     83,      0.0000,     10,100 - Stream Water Level (Metres)
06:00:00 01/01/2017,        0.00,     83,      0.0000,     10,140 - Stream Discharge (Cumecs)
07:00:00 01/01/2017,        0.00,     83,      0.0000,     10, 
08:00:00 01/01/2017,        0.00,     83,      0.0000,     10,Qualities:
09:00:00 01/01/2017,        0.00,     83,      0.0000,     10,10 - Good
10:00:00 01/01/2017,        0.00,     83,      0.0000,     10,30 - Poor
11:00:00 01/01/2017,        0.00,     83,      0.0000,     10,60 - Estimate
12:00:00 01/01/2017,        0.00,     83,      0.0000,     10,83 - Non standard rainfall
13:00:00 01/01/2017,        0.00,     83,      0.0000,     10,160 - Suspect
14:00:00 01/01/2017,        0.00,     83,      0.0000,     10,255 - No data exists
15:00:00 01/01/2017,        0.00,     83,      0.0000,     10, 
16:00:00 01/01/2017,        0.00,     83,      0.0000,     10, 
17:00:00 01/01/2017,        0.00,     83,      0.0000,     10, 
17:10:00 01/01/2017,        0.00,     83,"","", 
18:00:00 01/01/2017,        0.00,     83,      0.0000,     10, 
19:00:00 01/01/2017,        0.00,     83,      0.0000,     10, 
20:00:00 01/01/2017,        0.00,     83,      0.0000,     10, 
21:00:00 01/01/2017,        0.00,     83,      0.0000,     10, 
22:00:00 01/01/2017,        0.00,     83,      0.0000,     10, 
23:00:00 01/01/2017,        0.00,     83,      0.0000,     10, 
00:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
01:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
02:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
03:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
04:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
05:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
06:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
07:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
08:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
09:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
10:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
11:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
12:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
13:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
14:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
15:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
16:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
17:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
18:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
19:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
20:00:00 02/01/2017,        0.00,     83,      0.0000,     10, 
20:05:00 02/01/2017,        1.00,     83,"","", 
20:06:00 02/01/2017,        1.00,     83,"","", 
20:07:00 02/01/2017,        1.00,     83,"","", 
20:08:00 02/01/2017,        1.00,     83,"","", 
20:09:00 02/01/2017,        1.00,     83,"","", 
20:10:00 02/01/2017,        1.00,     83,"","", 
20:11:00 02/01/2017,        1.00,     83,"","", 
20:12:00 02/01/2017,        1.00,     83,"","", 
20:14:00 02/01/2017,        1.00,     83,"","", 
20:15:00 02/01/2017,        1.00,     83,"","", 
20:16:00 02/01/2017,        1.00,     83,"","", 
20:18:00 02/01/2017,        1.00,     83,"","", 
20:19:00 02/01/2017,        1.00,     83,"","", 
20:20:00 02/01/2017,        1.00,     83,"","", 
20:21:00 02/01/2017,        1.00,     83,"","", 
20:22:00 02/01/2017,        1.00,     83,"","", 
20:23:00 02/01/2017,        1.00,     83,"","", 
20:24:00 02/01/2017,        1.00,     83,"","", 
20:25:00 02/01/2017,        1.00,     83,"","", 
20:27:00 02/01/2017,        1.00,     83,"","", 
20:28:00 02/01/2017,        1.00,     83,"","", 
20:29:00 02/01/2017,        1.00,     83,"","", 
20:30:00 02/01/2017,        1.00,     83,"","", 
20:31:00 02/01/2017,        1.00,     83,"","", 
20:32:00 02/01/2017,        1.00,     83,"","", 
20:34:00 02/01/2017,        2.00,     83,"","", 
20:35:00 02/01/2017,        2.00,     83,"","", 
20:36:00 02/01/2017,        2.00,     83,"","", 
20:37:00 02/01/2017,        2.00,     83,"","", 
20:38:00 02/01/2017,        1.00,     83,"","", 
20:39:00 02/01/2017,        2.00,     83,"","", 
20:40:00 02/01/2017,        1.00,     83,"","", 
20:41:00 02/01/2017,        1.00,     83,"","", 
20:42:00 02/01/2017,        1.00,     83,"","", 
20:44:00 02/01/2017,        1.00,     83,"","", 
20:46:00 02/01/2017,        1.00,     83,"","", 
20:48:00 02/01/2017,        1.00,     83,"","", 
20:50:00 02/01/2017,        0.00,     83,"","", 
20:51:00 02/01/2017,        1.00,     83,"","", 
20:53:00 02/01/2017,        1.00,     83,"","", 
20:55:00 02/01/2017,        1.00,     83,"","", 
21:00:00 02/01/2017,        1.00,     83,      7.9053,     30, 
21:10:00 02/01/2017,        1.00,     83,"","", 
21:16:00 02/01/2017,        1.00,     83,"","", 
21:24:00 02/01/2017,        1.00,     83,"","", 
21:35:00 02/01/2017,        1.00,     83,"","", 
21:37:00 02/01/2017,        1.00,     83,"","", 
21:39:00 02/01/2017,        1.00,     83,"","", 
21:40:00 02/01/2017,        1.00,     83,"","", 
21:41:00 02/01/2017,        2.00,     83,"","", 
21:42:00 02/01/2017,        1.00,     83,"","", 
21:43:00 02/01/2017,        1.00,     83,"","", 
21:44:00 02/01/2017,        1.00,     83,"","", 
21:45:00 02/01/2017,        1.00,     83,"","", 
21:47:00 02/01/2017,        1.00,     83,"","", 
21:49:00 02/01/2017,        1.00,     83,"","", 
21:50:00 02/01/2017,        1.00,     83,"","", 
21:51:00 02/01/2017,        1.00,     83,"","", 
21:53:00 02/01/2017,        1.00,     83,"","", 
21:55:00 02/01/2017,        1.00,     83,"","", 
22:00:00 02/01/2017,        0.00,     83,      7.8565,     30, 
22:02:00 02/01/2017,        1.00,     83,"","", 
22:10:00 02/01/2017,        0.00,     83,"","", 
22:12:00 02/01/2017,        1.00,     83,"","", 
22:26:00 02/01/2017,        1.00,     83,"","", 
22:30:00 02/01/2017,        0.00,     83,"","", 
22:50:00 02/01/2017,        1.00,     83,"","", 
23:00:00 02/01/2017,        0.00,     83,      3.7680,     30, 
23:20:00 02/01/2017,        0.00,     83,"","", 
00:00:00 03/01/2017,        0.00,     83,      2.6683,     30, 
00:16:00 03/01/2017,        1.00,     83,"","", 
00:20:00 03/01/2017,        0.00,     83,"","", 
00:50:00 03/01/2017,        0.00,     83,"","", 
01:00:00 03/01/2017,        0.00,     83,      2.0063,     30, 
01:20:00 03/01/2017,        0.00,     83,"","", 
02:00:00 03/01/2017,        0.00,     83,      1.4006,     30, 
02:10:00 03/01/2017,        0.00,     83,"","", 
03:00:00 03/01/2017,        0.00,     83,      0.8236,     30, 
04:00:00 03/01/2017,        0.00,     83,      0.5245,     30, 
05:00:00 03/01/2017,        0.00,     83,      0.4192,     30, 
06:00:00 03/01/2017,        0.00,     83,      0.3550,     30, 
07:00:00 03/01/2017,        0.00,     83,      0.3086,     30, 
08:00:00 03/01/2017,        0.00,     83,      0.2721,     30, 
09:00:00 03/01/2017,        0.00,     83,      0.2464,     30, 
10:00:00 03/01/2017,        0.00,     83,      0.2220,     30, 
11:00:00 03/01/2017,        0.00,     83,      0.2035,     10, 
11:15:00 03/01/2017,        1.00,     83,"","", 
12:00:00 03/01/2017,        0.00,     83,      0.1896,     10, 
13:00:00 03/01/2017,        0.00,     83,      0.1819,     10, 
14:00:00 03/01/2017,        0.00,     83,      0.1635,     10, 
15:00:00 03/01/2017,        0.00,     83,      0.1478,     10, 
16:00:00 03/01/2017,        0.00,     83,      0.1362,     10, 
17:00:00 03/01/2017,        0.00,     83,      0.1267,     10, 
18:00:00 03/01/2017,        0.00,     83,      0.1176,     10, 
19:00:00 03/01/2017,        0.00,     83,      0.1103,     10, 
20:00:00 03/01/2017,        0.00,     83,      0.1032,     10, 
21:00:00 03/01/2017,        0.00,     83,      0.0977,     10, 
22:00:00 03/01/2017,        0.00,     83,      0.0911,     10, 
23:00:00 03/01/2017,        0.00,     83,      0.0873,     10, 
00:00:00 04/01/2017,        0.00,     83,      0.0823,     10, 
01:00:00 04/01/2017,        0.00,     83,      0.0787,     10, 
02:00:00 04/01/2017,        0.00,     83,      0.0752,     10, 
03:00:00 04/01/2017,        0.00,     83,      0.0718,     10, 
04:00:00 04/01/2017,        0.00,     83,      0.0684,     10, 
05:00:00 04/01/2017,        0.00,     83,      0.0662,     10, 
06:00:00 04/01/2017,        0.00,     83,      0.0630,     10, 
07:00:00 04/01/2017,        0.00,     83,      0.0609,     10, 
08:00:00 04/01/2017,        0.00,     83,      0.0579,     10, 
09:00:00 04/01/2017,        0.00,     83,      0.0549,     10, 
10:00:00 04/01/2017,        0.00,     83,      0.0530,     10, 
11:00:00 04/01/2017,        0.00,     83,      0.0501,     10, 
12:00:00 04/01/2017,        0.00,     83,      0.0483,     10, 
13:00:00 04/01/2017,        0.00,     83,      0.0456,     10, 
14:00:00 04/01/2017,        0.00,     83,      0.0430,     10, 
15:00:00 04/01/2017,        0.00,     83,      0.0414,     10, 
16:00:00 04/01/2017,        0.00,     83,      0.0397,     10, 
17:00:00 04/01/2017,        0.00,     83,      0.0381,     10, 
18:00:00 04/01/2017,        0.00,     83,      0.0357,     10, 
19:00:00 04/01/2017,        0.00,     83,      0.0342,     10, 
20:00:00 04/01/2017,        0.00,     83,      0.0335,     10, 
21:00:00 04/01/2017,        0.00,     83,      0.0328,     10, 
22:00:00 04/01/2017,        0.00,     83,      0.0320,     10, 
23:00:00 04/01/2017,        0.00,     83,      0.0313,     10, 
00:00:00 05/01/2017,        0.00,     83,      0.0306,     10, 
01:00:00 05/01/2017,        0.00,     83,      0.0299,     10, 
02:00:00 05/01/2017,        0.00,     83,      0.0292,     10, 
03:00:00 05/01/2017,        0.00,     83,      0.0292,     10, 
04:00:00 05/01/2017,        0.00,     83,      0.0285,     10, 
05:00:00 05/01/2017,        0.00,     83,      0.0279,     10, 
06:00:00 05/01/2017,        0.00,     83,      0.0272,     10, 
07:00:00 05/01/2017,        0.00,     83,      0.0265,     10, 
08:00:00 05/01/2017,        0.00,     83,      0.0259,     10, 
09:00:00 05/01/2017,        0.00,     83,      0.0246,     10, 
10:00:00 05/01/2017,        0.00,     83,      0.0240,     10, 
11:00:00 05/01/2017,        0.00,     83,      0.0234,     10, 
12:00:00 05/01/2017,        0.00,     83,      0.0228,     10, 
13:00:00 05/01/2017,        0.00,     83,      0.0222,     10, 
14:00:00 05/01/2017,        0.00,     83,      0.0216,     10, 
15:00:00 05/01/2017,        0.00,     83,      0.0210,     10, 
16:00:00 05/01/2017,        0.00,     83,      0.0205,     10, 
17:00:00 05/01/2017,        0.00,     83,      0.0199,     10, 
17:49:00 05/01/2017,        1.00,     83,"","", 
18:00:00 05/01/2017,        0.00,     83,      0.0216,     10, 
19:00:00 05/01/2017,        0.00,     83,      0.0259,     10, 
20:00:00 05/01/2017,        0.00,     83,      0.0222,     10, 
21:00:00 05/01/2017,        0.00,     83,      0.0199,     10, 
22:00:00 05/01/2017,        0.00,     83,      0.0194,     10, 
23:00:00 05/01/2017,        0.00,     83,      0.0188,     10, 
00:00:00 06/01/2017,        0.00,     83,      0.0183,     10, 
01:00:00 06/01/2017,        0.00,     83,      0.0205,     10, 
02:00:00 06/01/2017,        0.00,     83,      0.0246,     10, 
03:00:00 06/01/2017,        0.00,     83,      0.0246,     10, 
04:00:00 06/01/2017,        0.00,     83,      0.0234,     10, 
05:00:00 06/01/2017,        0.00,     83,      0.0216,     10, 
06:00:00 06/01/2017,        0.00,     83,      0.0199,     10, 
07:00:00 06/01/2017,        0.00,     83,      0.0188,     10, 
08:00:00 06/01/2017,        0.00,     83,      0.0178,     10, 
09:00:00 06/01/2017,        0.00,     83,      0.0167,     10, 
10:00:00 06/01/2017,        0.00,     83,      0.0157,     10, 
11:00:00 06/01/2017,        0.00,     83,      0.0153,     10, 
11:31:00 06/01/2017,        1.00,     83,"","", 
11:41:00 06/01/2017,        1.00,     83,"","", 
11:49:00 06/01/2017,        1.00,     83,"","", 
11:55:00 06/01/2017,        1.00,     83,"","", 
12:00:00 06/01/2017,        1.00,     83,      0.0422,     10, 
12:10:00 06/01/2017,        0.00,     83,"","", 
12:20:00 06/01/2017,        0.00,     83,"","", 
12:30:00 06/01/2017,        0.00,     83,"","", 
12:40:00 06/01/2017,        0.00,     83,"","", 
12:50:00 06/01/2017,        0.00,     83,"","", 
13:00:00 06/01/2017,        0.00,     83,      0.0836,     10, 
13:41:00 06/01/2017,        1.00,     83,"","", 
13:43:00 06/01/2017,        1.00,     83,"","", 
13:46:00 06/01/2017,        1.00,     83,"","", 
13:48:00 06/01/2017,        1.00,     83,"","", 
13:49:00 06/01/2017,        1.00,     83,"","", 
13:50:00 06/01/2017,        1.00,     83,"","", 
13:51:00 06/01/2017,        1.00,     83,"","", 
13:53:00 06/01/2017,        1.00,     83,"","", 
14:00:00 06/01/2017,        0.00,     83,      0.5245,     30, 
14:20:00 06/01/2017,        0.00,     83,"","", 
15:00:00 06/01/2017,        0.00,     83,      0.3253,     30, 
16:00:00 06/01/2017,        0.00,     83,      0.2381,     30, 
17:00:00 06/01/2017,        0.00,     83,      0.1428,     10, 
18:00:00 06/01/2017,        0.00,     83,      0.0951,     10, 
19:00:00 06/01/2017,        0.00,     83,      0.0718,     10, 
20:00:00 06/01/2017,        0.00,     83,      0.0579,     10, 
21:00:00 06/01/2017,        0.00,     83,      0.0483,     10, 
22:00:00 06/01/2017,        0.00,     83,      0.0414,     10, 
23:00:00 06/01/2017,        0.00,     83,      0.0373,     10, 
23:26:00 06/01/2017,        1.00,     83,"","", 
23:50:00 06/01/2017,        0.00,     83,"","", 
00:00:00 07/01/2017,        0.00,     83,      0.1298,     10, 
01:00:00 07/01/2017,        0.00,     83,      0.0549,     10, 
01:40:00 07/01/2017,        1.00,     83,"","", 
01:46:00 07/01/2017,        1.00,     83,"","", 
02:00:00 07/01/2017,        0.00,     83,      0.0662,     10, 
02:10:00 07/01/2017,        0.00,     83,"","", 
02:14:00 07/01/2017,        1.00,     83,"","", 
02:24:00 07/01/2017,        1.00,     83,"","", 
03:00:00 07/01/2017,        0.00,     83,      0.1362,     10, 
03:18:00 07/01/2017,        1.00,     83,"","", 
03:23:00 07/01/2017,        1.00,     83,"","", 
03:40:00 07/01/2017,        0.00,     83,"","", 
03:43:00 07/01/2017,        1.00,     83,"","", 
04:00:00 07/01/2017,        0.00,     83,      0.2570,     30, 
05:00:00 07/01/2017,        0.00,     83,      0.2075,     10, 
06:00:00 07/01/2017,        0.00,     83,      0.1581,     10, 
07:00:00 07/01/2017,        0.00,     83,      0.1131,     10, 
08:00:00 07/01/2017,        0.00,     83,      0.0873,     10, 
09:00:00 07/01/2017,        0.00,     83,      0.0706,     10, 
10:00:00 07/01/2017,        0.00,     83,      0.0609,     10, 
11:00:00 07/01/2017,        0.00,     83,      0.0549,     10, 
12:00:00 07/01/2017,        0.00,     83,      0.0492,     10, 
13:00:00 07/01/2017,        0.00,     83,      0.0448,     10, 
14:00:00 07/01/2017,        0.00,     83,      0.0414,     10, 
15:00:00 07/01/2017,        0.00,     83,      0.0389,     10, 
16:00:00 07/01/2017,        0.00,     83,      0.0365,     10, 
17:00:00 07/01/2017,        0.00,     83,      0.0342,     10, 
18:00:00 07/01/2017,        0.00,     83,      0.0328,     10, 
19:00:00 07/01/2017,        0.00,     83,      0.0313,     10, 
20:00:00 07/01/2017,        0.00,     83,      0.0306,     10, 
21:00:00 07/01/2017,        0.00,     83,      0.0299,     10, 
22:00:00 07/01/2017,        0.00,     83,      0.0292,     10, 
23:00:00 07/01/2017,        0.00,     83,      0.0285,     10, 
00:00:00 08/01/2017,        0.00,     83,      0.0279,     10, 
01:00:00 08/01/2017,        0.00,     83,      0.0272,     10, 
02:00:00 08/01/2017,        0.00,     83,      0.0265,     10, 
03:00:00 08/01/2017,        0.00,     83,      0.0259,     10, 
04:00:00 08/01/2017,        0.00,     83,      0.0259,     10, 
05:00:00 08/01/2017,        0.00,     83,      0.0253,     10, 
06:00:00 08/01/2017,        0.00,     83,      0.0246,     10, 
07:00:00 08/01/2017,        0.00,     83,      0.0246,     10, 
08:00:00 08/01/2017,        0.00,     83,      0.0240,     10, 
09:00:00 08/01/2017,        0.00,     83,      0.0234,     10, 
10:00:00 08/01/2017,        0.00,     83,      0.0222,     10, 
11:00:00 08/01/2017,        0.00,     83,      0.0216,     10, 
12:00:00 08/01/2017,        0.00,     83,      0.0210,     10, 
13:00:00 08/01/2017,        0.00,     83,      0.0205,     10, 
14:00:00 08/01/2017,        0.00,     83,      0.0199,     10, 
15:00:00 08/01/2017,        0.00,     83,      0.0188,     10, 
16:00:00 08/01/2017,        0.00,     83,      0.0178,     10, 
17:00:00 08/01/2017,        0.00,     83,      0.0172,     10, 
18:00:00 08/01/2017,        0.00,     83,      0.0162,     10, 
19:00:00 08/01/2017,        0.00,     83,      0.0157,     10, 
20:00:00 08/01/2017,        0.00,     83,      0.0153,     10, 
21:00:00 08/01/2017,        0.00,     83,      0.0148,     10, 
22:00:00 08/01/2017,        0.00,     83,      0.0148,     10, 
23:00:00 08/01/2017,        0.00,     83,      0.0143,     10, 
00:00:00 09/01/2017,        0.00,     83,      0.0139,     10, 
01:00:00 09/01/2017,        0.00,     83,      0.0139,     10, 
02:00:00 09/01/2017,        0.00,     83,      0.0139,     10, 
03:00:00 09/01/2017,        0.00,     83,      0.0134,     10, 
04:00:00 09/01/2017,        0.00,     83,      0.0134,     10, 
05:00:00 09/01/2017,        0.00,     83,      0.0134,     10, 
06:00:00 09/01/2017,        0.00,     83,      0.0130,     10, 
07:00:00 09/01/2017,        0.00,     83,      0.0130,     10, 
08:00:00 09/01/2017,        0.00,     83,      0.0130,     10, 
09:00:00 09/01/2017,        0.00,     83,      0.0130,     10, 
10:00:00 09/01/2017,        0.00,     83,      0.0130,     10, 
11:00:00 09/01/2017,        0.00,     83,      0.0125,     10, 
12:00:00 09/01/2017,        0.00,     83,      0.0125,     10, 
13:00:00 09/01/2017,        0.00,     83,      0.0117,     10, 
14:00:00 09/01/2017,        0.00,     83,      0.0113,     10, 
15:00:00 09/01/2017,        0.00,     83,      0.0109,     10, 
16:00:00 09/01/2017,        0.00,     83,      0.0105,     10, 
17:00:00 09/01/2017,        0.00,     83,      0.0101,     10, 
18:00:00 09/01/2017,        0.00,     83,      0.0097,     10, 
19:00:00 09/01/2017,        0.00,     83,      0.0097,     10, 
20:00:00 09/01/2017,        0.00,     83,      0.0094,     10, 
21:00:00 09/01/2017,        0.00,     83,      0.0094,     10, 
22:00:00 09/01/2017,        0.00,     83,      0.0094,     10, 
23:00:00 09/01/2017,        0.00,     83,      0.0090,     10, 
00:00:00 10/01/2017,        0.00,     83,      0.0090,     10, 
01:00:00 10/01/2017,        0.00,     83,      0.0090,     10, 
02:00:00 10/01/2017,        0.00,     83,      0.0087,     10, 
03:00:00 10/01/2017,        0.00,     83,      0.0087,     10, 
04:00:00 10/01/2017,        0.00,     83,      0.0087,     10, 
05:00:00 10/01/2017,        0.00,     83,      0.0087,     10, 
06:00:00 10/01/2017,        0.00,     83,      0.0087,     10, 
07:00:00 10/01/2017,        0.00,     83,      0.0083,     10, 
08:00:00 10/01/2017,        0.00,     83,      0.0083,     10, 
09:00:00 10/01/2017,        0.00,     83,      0.0083,     10, 
10:00:00 10/01/2017,        0.00,     83,      0.0080,     10, 
11:00:00 10/01/2017,        0.00,     83,      0.0080,     10, 
12:00:00 10/01/2017,        0.00,     83,      0.0080,     10, 
13:00:00 10/01/2017,        0.00,     83,      0.0080,     10, 
14:00:00 10/01/2017,        0.00,     83,      0.0080,     10, 
15:00:00 10/01/2017,        0.00,     83,      0.0076,     10, 
16:00:00 10/01/2017,        0.00,     83,      0.0076,     10, 
17:00:00 10/01/2017,        0.00,     83,      0.0076,     10, 
18:00:00 10/01/2017,        0.00,     83,      0.0076,     10, 
19:00:00 10/01/2017,        0.00,     83,      0.0073,     10, 
20:00:00 10/01/2017,        0.00,     83,      0.0070,     10, 
21:00:00 10/01/2017,        0.00,     83,      0.0070,     10, 
22:00:00 10/01/2017,        0.00,     83,      0.0070,     10, 
23:00:00 10/01/2017,        0.00,     83,      0.0070,     10, 
00:00:00 11/01/2017,        0.00,     83,      0.0067,     10, 
01:00:00 11/01/2017,        0.00,     83,      0.0067,     10, 
02:00:00 11/01/2017,        0.00,     83,      0.0067,     10, 
03:00:00 11/01/2017,        0.00,     83,      0.0064,     10, 
04:00:00 11/01/2017,        0.00,     83,      0.0064,     10, 
05:00:00 11/01/2017,        0.00,     83,      0.0064,     10, 
06:00:00 11/01/2017,        0.00,     83,      0.0064,     10, 
07:00:00 11/01/2017,        0.00,     83,      0.0064,     10, 
08:00:00 11/01/2017,        0.00,     83,      0.0061,     10, 
09:00:00 11/01/2017,        0.00,     83,      0.0058,     10, 
10:00:00 11/01/2017,        0.00,     83,      0.0058,     10, 
10:20:00 11/01/2017,        0.00,     83,"","", 
11:00:00 11/01/2017,        0.00,     83,      0.0056,     10, 
12:00:00 11/01/2017,        0.00,     83,      0.0056,     10, 
13:00:00 11/01/2017,        0.00,     83,      0.0053,     10, 
14:00:00 11/01/2017,        0.00,     83,      0.0050,     10, 
15:00:00 11/01/2017,        0.00,     83,      0.0048,     10, 
16:00:00 11/01/2017,        0.00,     83,      0.0048,     10, 
17:00:00 11/01/2017,        0.00,     83,      0.0045,     10, 
18:00:00 11/01/2017,        0.00,     83,      0.0045,     10, 
19:00:00 11/01/2017,        0.00,     83,      0.0045,     10, 
20:00:00 11/01/2017,        0.00,     83,      0.0043,     10, 
21:00:00 11/01/2017,        0.00,     83,      0.0043,     10, 
22:00:00 11/01/2017,        0.00,     83,      0.0043,     10, 
23:00:00 11/01/2017,        0.00,     83,      0.0043,     10, 
00:00:00 12/01/2017,        0.00,     83,      0.0043,     10, 
01:00:00 12/01/2017,        0.00,     83,      0.0043,     10, 
02:00:00 12/01/2017,        0.00,     83,      0.0043,     10, 
03:00:00 12/01/2017,        0.00,     83,      0.0043,     10, 
04:00:00 12/01/2017,        0.00,     83,      0.0043,     10, 
05:00:00 12/01/2017,        0.00,     83,      0.0045,     10, 
05:20:00 12/01/2017,        0.00,     83,"","", 
06:00:00 12/01/2017,        0.00,     83,      0.0048,     10, 
07:00:00 12/01/2017,        0.00,     83,      0.0048,     10, 
08:00:00 12/01/2017,        0.00,     83,      0.0048,     10, 
09:00:00 12/01/2017,        0.00,     83,      0.0048,     10, 
10:00:00 12/01/2017,        0.00,     83,      0.0048,     10, 
11:00:00 12/01/2017,        0.00,     83,      0.0048,     10, 
12:00:00 12/01/2017,        0.00,     83,      0.0048,     10, 
13:00:00 12/01/2017,        0.00,     83,      0.0045,     10, 
14:00:00 12/01/2017,        0.00,     83,      0.0045,     10, 
15:00:00 12/01/2017,        0.00,     83,      0.0043,     10, 
16:00:00 12/01/2017,        0.00,     83,      0.0043,     10, 
17:00:00 12/01/2017,        0.00,     83,      0.0050,     10, 
17:40:00 12/01/2017,        0.00,     83,"","", 
18:00:00 12/01/2017,        0.00,     83,      0.0045,     10, 
19:00:00 12/01/2017,        0.00,     83,      0.0043,     10, 
20:00:00 12/01/2017,        0.00,     83,      0.0043,     10, 
21:00:00 12/01/2017,        0.00,     83,      0.0043,     10, 
22:00:00 12/01/2017,        0.00,     83,      0.0043,     10, 
23:00:00 12/01/2017,        0.00,     83,      0.0041,     10, 
00:00:00 13/01/2017,        0.00,     83,      0.0041,     10, 
01:00:00 13/01/2017,        0.00,     83,      0.0041,     10, 
02:00:00 13/01/2017,        0.00,     83,      0.0041,     10, 
03:00:00 13/01/2017,        0.00,     83,      0.0041,     10, 
04:00:00 13/01/2017,        0.00,     83,      0.0038,     10, 
05:00:00 13/01/2017,        0.00,     83,      0.0041,     10, 
06:00:00 13/01/2017,        0.00,     83,      0.0038,     10, 
07:00:00 13/01/2017,        0.00,     83,      0.0036,     10, 
08:00:00 13/01/2017,        0.00,     83,      0.0036,     10, 
09:00:00 13/01/2017,        0.00,     83,      0.0036,     10, 
10:00:00 13/01/2017,        0.00,     83,      0.0036,     10, 
11:00:00 13/01/2017,        0.00,     83,      0.0038,     10, 
12:00:00 13/01/2017,        0.00,     83,      0.0034,     10, 
13:00:00 13/01/2017,        0.00,     83,      0.0034,     10, 
14:00:00 13/01/2017,        0.00,     83,      0.0032,     10, 
15:00:00 13/01/2017,        0.00,     83,      0.0032,     10, 
